Team	TeamId	HomeGoalsAve	AwayGoalsAve	HomeGoalsTotal	AwayGoalsTotal	HomeGoalsHalfAve	AwayGoalsHalfAve	HomeGoalsHalfTotal	AwayGoalsHalfTotal	HomeShotsAve	AwayShotsAve	HomeShotsTotal	AwayShotsTotal	HomeShotsOnTargetAve	AwayShotsOnTargetAve	HomeFirstHalfDifferentialAve	AwayFirstHalfDifferentialAve	HomeGameDifferentialAve	AwayGameDifferentialAve	HomeFirstToSecondHalfGoalRatioAve	AwayFirstToSecondHalfGoalRatioAve
Waregem	waregem	1.5555555555555556	1.4	56.0	49	0.6111111111111112	0.5714285714285714	22.0	20.0	12.63888888888889	10.6	455.0	371.0	4.361111111111111	4.0	-0.2222222222222222	-0.3142857142857143	-0.3611111111111111	-0.4	-0.20634920634920634	-0.009803921568627432
Dender	dender	1.054054054054054	1.131578947368421	39.0	43	0.6486486486486487	0.5	24.0	19.0	10.72972972972973	10.657894736842104	397.0	405.0	3.5945945945945947	3.9210526315789473	0.05405405405405406	-0.47368421052631576	-0.4594594594594595	-0.8947368421052632	0.16666666666666666	-0.6481481481481481
Antwerp	antwerp	1.794871794871795	1.077922077922078	140.0	83	0.7922077922077922	0.5454545454545454	61.0	42.0	14.441558441558442	11.064935064935066	1112.0	852.0	5.012987012987013	4.0519480519480515	0.23376623376623376	-0.025974025974025976	0.6923076923076923	-0.012987012987012988	0.22101449275362323	0.1827956989247312
St. Gilloise	st._gilloise	2.064935064935065	1.705128205128205	159.0	133	0.961038961038961	0.7948717948717948	74.0	62.0	16.155844155844157	13.35897435897436	1244.0	1042.0	6.194805194805195	5.064102564102564	0.6103896103896104	0.3333333333333333	1.3116883116883118	0.6538461538461539	0.4562841530054645	0.2801418439716312
Eupen	eupen	1.1714285714285715	0.8	41.0	28	0.4857142857142857	0.34285714285714286	17.0	12.0	11.542857142857143	9.457142857142857	404.0	331.0	3.6857142857142855	3.2857142857142856	-0.45714285714285713	-0.7428571428571429	-0.6571428571428571	-1.4	-0.7647058823529411	-0.6538461538461539
Seraing	seraing	0.47058823529411764	1.1764705882352942	8.0	20	0.23529411764705882	0.6470588235294118	4.0	11.0	9.117647058823529	6.294117647058823	155.0	107.0	2.235294117647059	2.176470588235294	-0.35294117647058826	-0.8235294117647058	-1.2352941176470589	-1.1176470588235294	-0.25	-0.9375
Standard	standard	1.155844155844156	1.12987012987013	89.0	87	0.5394736842105263	0.5454545454545454	41.0	42.0	11.894736842105264	10.077922077922079	904.0	776.0	4.171052631578948	3.272727272727273	0.17105263157894737	-0.18181818181818182	0.16883116883116883	-0.4675324675324675	0.04040404040404041	-0.09375
Beveren	beveren		1.0		1		1.0		1.0		11.0		11.0		4.0		1.0		-1.0		
Kortrijk	kortrijk	1.0188679245283019	0.9629629629629629	54.0	52	0.5471698113207547	0.3888888888888889	29.0	21.0	12.18867924528302	9.592592592592593	646.0	518.0	3.981132075471698	3.2222222222222223	-0.09433962264150944	-0.5740740740740741	-0.5849056603773585	-1.0555555555555556	-0.29545454545454547	-0.45333333333333337
Anderlecht	anderlecht	1.7820512820512822	1.3376623376623376	139.0	103	0.7692307692307693	0.5526315789473685	60.0	42.0	15.333333333333334	11.526315789473685	1196.0	876.0	5.448717948717949	4.171052631578948	0.2564102564102564	-0.05263157894736842	0.6923076923076923	-0.03896103896103896	0.26773049645390073	0.020370370370370375
Lommel SK	lommel_sk		1.0		1		1.0		1.0		9.0		9.0		2.0		1.0		0.0		
