fixture_id,provider_event_id,source,observed_at,kickoff_utc,edition_id,rules_version,Date,Time,HomeTeam,AwayTeam,home_team_id,away_team_id,Status
belgium:espn:401878996,401878996,espn,2026-09-11T12:19:42.079763+00:00,2026-09-11T18:45:00+00:00,bel.1:2026-27,bel.1-2026-27-v1,2026-09-11,20:45,Mechelen,Anderlecht,belgium:mechelen,belgium:anderlecht,STATUS_SCHEDULED
belgium:espn:401878995,401878995,espn,2026-09-11T12:19:42.079763+00:00,2026-09-12T14:00:00+00:00,bel.1:2026-27,bel.1-2026-27-v1,2026-09-12,16:00,Beveren,St. Truiden,belgium:beveren,belgium:st-truiden,STATUS_SCHEDULED
belgium:espn:401878994,401878994,espn,2026-09-11T12:19:42.079763+00:00,2026-09-12T16:15:00+00:00,bel.1:2026-27,bel.1-2026-27-v1,2026-09-12,18:15,Westerlo,Standard,belgium:westerlo,belgium:standard,STATUS_SCHEDULED
belgium:espn:401878993,401878993,espn,2026-09-11T12:19:42.079763+00:00,2026-09-12T18:45:00+00:00,bel.1:2026-27,bel.1-2026-27-v1,2026-09-12,20:45,Leuven,Cercle Brugge,belgium:leuven,belgium:cercle-brugge,STATUS_SCHEDULED
belgium:espn:401878992,401878992,espn,2026-09-11T12:19:42.079763+00:00,2026-09-12T18:45:00+00:00,bel.1:2026-27,bel.1-2026-27-v1,2026-09-12,20:45,St. Gilloise,Lommel SK,belgium:st-gilloise,belgium:lommel-sk,STATUS_SCHEDULED
belgium:espn:401878991,401878991,espn,2026-09-11T12:19:42.079763+00:00,2026-09-13T11:30:00+00:00,bel.1:2026-27,bel.1-2026-27-v1,2026-09-13,13:30,Club Brugge,Antwerp,belgium:club-brugge,belgium:antwerp,STATUS_SCHEDULED
belgium:espn:401878990,401878990,espn,2026-09-11T12:19:42.079763+00:00,2026-09-13T14:00:00+00:00,bel.1:2026-27,bel.1-2026-27-v1,2026-09-13,16:00,Genk,Gent,belgium:genk,belgium:gent,STATUS_SCHEDULED
belgium:espn:401878989,401878989,espn,2026-09-11T12:19:42.079763+00:00,2026-09-13T16:30:00+00:00,bel.1:2026-27,bel.1-2026-27-v1,2026-09-13,18:30,Waregem,Charleroi,belgium:waregem,belgium:charleroi,STATUS_SCHEDULED
belgium:espn:401878988,401878988,espn,2026-09-11T12:19:42.079763+00:00,2026-09-13T17:15:00+00:00,bel.1:2026-27,bel.1-2026-27-v1,2026-09-13,19:15,RAAL La Louviere,Kortrijk,belgium:raal-la-louviere,belgium:kortrijk,STATUS_SCHEDULED
belgium:espn:401878987,401878987,espn,2026-09-11T12:19:42.079763+00:00,2026-09-18T18:45:00+00:00,bel.1:2026-27,bel.1-2026-27-v1,2026-09-18,20:45,Gent,Standard,belgium:gent,belgium:standard,STATUS_SCHEDULED
belgium:espn:401878986,401878986,espn,2026-09-11T12:19:42.079763+00:00,2026-09-19T14:00:00+00:00,bel.1:2026-27,bel.1-2026-27-v1,2026-09-19,16:00,Leuven,RAAL La Louviere,belgium:leuven,belgium:raal-la-louviere,STATUS_SCHEDULED
belgium:espn:401878985,401878985,espn,2026-09-11T12:19:42.079763+00:00,2026-09-19T16:15:00+00:00,bel.1:2026-27,bel.1-2026-27-v1,2026-09-19,18:15,Charleroi,Cercle Brugge,belgium:charleroi,belgium:cercle-brugge,STATUS_SCHEDULED
belgium:espn:401878984,401878984,espn,2026-09-11T12:19:42.079763+00:00,2026-09-19T18:45:00+00:00,bel.1:2026-27,bel.1-2026-27-v1,2026-09-19,20:45,Anderlecht,Waregem,belgium:anderlecht,belgium:waregem,STATUS_SCHEDULED
