Feature,Importance,Std
Home_Poisson_xPTS_Avg_L5,0.029365079365079372,0.0019440394783993406
Home_Poisson_1_Goal_Avg_L5,0.02698412698412699,0.01046897298275629
Away_Poisson_2_3_Goals_Avg_L5,0.025396825396825407,0.014762758125189094
AwayFailedToScorePct_L10,0.02142857142857143,0.014762758125189108
Home_Poisson_2_3_Goals_Avg_L5,0.019841269841269847,0.012548720873684043
Away_Poisson_xPTS_Avg_L5,0.019047619047619056,0.014063527894182018
AwayShootingEff_Avg_L5,0.018253968253968245,0.010225475179940574
Away_Poisson_1_Goal_Avg_L5,0.015079365079365081,0.009187172145071608
HomeRestDays,0.015079365079365071,0.011610110189149042
AwayPointsPerGame,0.014285714285714301,0.007360014678964839
HomePointsPerGame,0.01428571428571428,0.012698412698412693
Home_Poisson_4Plus_Goals_Avg_L5,0.012698412698412709,0.013837774423938645
AwayGoalDiff_Avg_L5,0.012698412698412698,0.005832118435198039
PointsPerGameDiff,0.011904761904761908,0.010939721231817637
HomeGoalDiffSeason,0.010317460317460326,0.013883218797250706
HomeShootingEff_Avg_L5,0.007936507936507941,0.009720197391996727
AwayMomentum_L3,0.007936507936507941,0.006640158940746628
HomeH2HWinLast5,0.00714285714285714,0.015348475877629934
HomeMomentum_L3,0.006349206349206349,0.008171135032529362
HomexG_Avg_L5,0.0047619047619047675,0.005264483794214924
Away_Poisson_0_Goals_Avg_L5,0.003968253968253977,0.006640158940746628
AwayDefVsHomeAttack,0.003968253968253965,0.01505846504842084
AwayWinStreakAway_L5,0.0015873015873015927,0.005382801573908936
Home_Poisson_0_Goals_Avg_L5,0.0007936507936508019,0.005832118435198044
HomeFailedToScorePct_L10,0.0007936507936508019,0.012648712262308908
AwayxG_Avg_L5,0.0007936507936508019,0.012397221707788349
AwayGoalDiffSeason,1.1102230246251566e-17,0.0066401589407466275
PPH,0.0,0.0
AxG,0.0,0.0
HxG,0.0,0.0
SKBCD,0.0,0.0
PPCA,0.0,0.0
PPCD,0.0,0.0
PPCH,0.0,0.0
SKBA,0.0,0.0
PPD,0.0,0.0
PPA,0.0,0.0
SKBH,0.0,0.0
SKBD,0.0,0.0
AwayTeamPointsLast5_AwayOnly,0.0,0.0
SKBCH,0.0,0.0
SKBCA,0.0,0.0
AwayCleanSheetPct_L10,0.0,0.0050194883494736
AwayH2HWinLast5,-0.0015873015873015706,0.00890870806374749
HomeTeamPointsLast5_HomeOnly,-0.0015873015873015817,0.0019440394783993406
HomeTeamPointsLast5,-0.0023809523809523725,0.0019440394783993406
AwayTeamPointsLast5,-0.003174603174603152,0.006349206349206347
AwayRestDays,-0.0031746031746031746,0.01161011018914904
HomeWinStreakHome_L5,-0.00714285714285714,0.0058321184351980485
VenueAdjustedFormDiff,-0.00714285714285714,0.014504497525791315
HomeGoalDiff_Avg_L5,-0.00793650793650793,0.008694008849288344
Away_Poisson_4Plus_Goals_Avg_L5,-0.008730158730158732,0.0058321184351980485
HomeCleanSheetPct_L10,-0.009523809523809513,0.005939138709164989
HomeDefVsAwayAttack,-0.01428571428571428,0.008908708063747465
H2HDrawLast5,-0.015079365079365071,0.008473871628596268
