feature,category,dtype,missing_rate,unique_values
Division,excluded,str,0.0,1
MatchDate,excluded,str,0.0,475
KickoffTime,excluded,str,0.0,12
HomeTeam,excluded,str,0.0,24
AwayTeam,excluded,str,0.0,24
FullTimeHomeGoals,excluded,int64,0.0,8
FullTimeAwayGoals,excluded,int64,0.0,7
FullTimeResult,excluded,str,0.0,3
HalfTimeHomeGoals,excluded,float64,0.0023328149300155523,6
HalfTimeAwayGoals,excluded,float64,0.0023328149300155523,5
HalfTimeResult,excluded,str,0.0023328149300155523,3
HomeShots,excluded,float64,0.0023328149300155523,34
AwayShots,excluded,float64,0.0023328149300155523,29
HomeShotsOnTarget,excluded,float64,0.0023328149300155523,17
AwayShotsOnTarget,excluded,float64,0.0023328149300155523,13
HomeFouls,excluded,float64,0.0023328149300155523,21
AwayFouls,excluded,float64,0.0023328149300155523,24
HomeCorners,excluded,float64,0.0023328149300155523,19
AwayCorners,excluded,float64,0.0023328149300155523,17
HomeYellowCards,excluded,float64,0.0023328149300155523,8
AwayYellowCards,excluded,float64,0.0023328149300155523,9
HomeRedCards,excluded,float64,0.0023328149300155523,3
AwayRedCards,excluded,float64,0.0023328149300155523,3
B365H,market,float64,0.0038880248833592537,98
B365D,market,float64,0.0038880248833592537,29
B365A,market,float64,0.0038880248833592537,91
BWH,market,float64,0.09175738724727839,119
BWD,market,float64,0.09175738724727839,34
BWA,market,float64,0.09175738724727839,118
IWH,market,float64,0.6376360808709176,91
IWD,market,float64,0.6376360808709176,38
IWA,market,float64,0.6376360808709176,96
PSH,market,float64,0.20451010886469673,356
PSD,market,float64,0.20451010886469673,250
PSA,market,float64,0.20451010886469673,488
WHH,market,float64,0.6034214618973561,86
WHD,market,float64,0.6034214618973561,27
WHA,market,float64,0.6034214618973561,83
VCH,market,float64,0.5303265940902022,85
VCD,market,float64,0.5303265940902022,28
VCA,market,float64,0.5303265940902022,86
MaxH,market,float64,0.0,304
MaxD,market,float64,0.0,165
MaxA,market,float64,0.0,343
AvgH,market,float64,0.0,368
AvgD,market,float64,0.0,255
AvgA,market,float64,0.0,535
B365>2.5,market,float64,0.0038880248833592537,48
B365<2.5,market,float64,0.0038880248833592537,46
P>2.5,market,float64,0.20451010886469673,94
P<2.5,market,float64,0.20451010886469673,136
Max>2.5,market,float64,0.0,100
Max<2.5,market,float64,0.0,132
Avg>2.5,market,float64,0.0,95
Avg<2.5,market,float64,0.0,142
AHh,market,float64,0.0007776049766718507,18
B365AHH,market,float64,0.005443234836702955,31
B365AHA,market,float64,0.005443234836702955,31
PAHH,market,float64,0.20451010886469673,48
PAHA,market,float64,0.20451010886469673,47
MaxAHH,market,float64,0.0,48
MaxAHA,market,float64,0.0,47
AvgAHH,market,float64,0.0,43
