Feature,Mean_SHAP
HomeShootingEff_Avg_L5,0.20083015
Away_Poisson_xPTS_Avg_L5,0.19899659
PointsPerGameDiff,0.17953944
Home_Poisson_xPTS_Avg_L5,0.17646508
HomexG_Avg_L5,0.16602395
Away_Poisson_0_Goals_Avg_L5,0.16326603
Home_Poisson_4Plus_Goals_Avg_L5,0.15776734
Home_Poisson_2_3_Goals_Avg_L5,0.14107768
HomeRestDays,0.13042147
AwayPointsPerGame,0.12631811
HomeH2HWinLast5,0.12624358
AwayGoalDiffSeason,0.12254497
Away_Poisson_2_3_Goals_Avg_L5,0.120121114
Home_Poisson_1_Goal_Avg_L5,0.116460085
HomeTeamPointsLast5,0.11001136
HomePointsPerGame,0.109012894
AwayxG_Avg_L5,0.10764343
AwayRestDays,0.10693418
HomeDefVsAwayAttack,0.104293376
AwayShootingEff_Avg_L5,0.10306402
AwayGoalDiff_Avg_L5,0.1019251
Home_Poisson_0_Goals_Avg_L5,0.09742946
AwayDefVsHomeAttack,0.0973179
HomeGoalDiffSeason,0.097023256
Away_Poisson_1_Goal_Avg_L5,0.09383879
Away_Poisson_4Plus_Goals_Avg_L5,0.09117993
VenueAdjustedFormDiff,0.090303145
HomeGoalDiff_Avg_L5,0.08333176
HomeCleanSheetPct_L10,0.08016538
AwayFailedToScorePct_L10,0.07916667
HomeFailedToScorePct_L10,0.073447965
AwayCleanSheetPct_L10,0.064286225
AwayTeamPointsLast5,0.06349526
H2HDrawLast5,0.056337845
AwayMomentum_L3,0.051527247
AwayH2HWinLast5,0.051404417
HomeMomentum_L3,0.04345445
HomeWinStreakHome_L5,0.03915247
AwayWinStreakAway_L5,0.03140978
HomeTeamPointsLast5_HomeOnly,0.009127152
SKBA,0.0
PPCA,0.0
PPCH,0.0
SKBCD,0.0
SKBCH,0.0
PPCD,0.0
SKBD,0.0
PPD,0.0
HxG,0.0
AxG,0.0
PPH,0.0
SKBH,0.0
PPA,0.0
SKBCA,0.0
AwayTeamPointsLast5_AwayOnly,0.0
